brand,customer_tweet_id,customer_author_id,customer_text,customer_created_at,support_tweet_id,support_text,support_created_at,candidate_intent,gold_intent,expected_action,label_notes,suggested_gold_intent,suggested_expected_action,human_verified,human_notes
VerizonSupport,2687005,755251,@VerizonSupport Power supply has been constant; no outages.,Tue Oct 31 17:38:22 +0000 2017,2687003,"@755251 Have you tried factory resetting both the extender and router at the same time?
^ACM",Tue Oct 31 17:43:30 +0000 2017,service_outage,,,,service_outage,auto_handle,,
VerizonSupport,584851,258028,@VerizonSupport I want to pay off my phone to get a new one and wondering what else I would need to pay besides the activation fee? Please respond,Sun Dec 03 14:38:57 +0000 2017,584850,"@258028 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns.
^TDC",Sun Dec 03 14:40:54 +0000 2017,general_support,,,,general_support,auto_handle,,
VerizonSupport,1539741,477241,@VerizonSupport On the phone with a tech now. I think hes shipping us a new router. First problem in two years. https://t.co/ZYDg6yOgNj,Sat Nov 04 01:48:26 +0000 2017,1539744,"@477241 Our phone agent will take good care of you.
^NHP",Sat Nov 04 02:01:00 +0000 2017,internet_connectivity,,,,internet_connectivity,auto_handle,,
VerizonSupport,2200380,643524,"@VerizonSupport Apple iphone no longer working after 1 year, turning on and off repeatedly. I went into verizon, where I have insurance, and received no help at all. Your incompetent employees claimed insurance wouldn't work and that I would be unable to use an available update on our plan.",Thu Nov 09 20:27:23 +0000 2017,2200378,"@643524 Let’s get you over to our partner’s @115990 and they will assist you with your wireless concerns.
^TDC",Thu Nov 09 20:35:00 +0000 2017,plan_upgrade,,,,plan_upgrade,human_escalation,,
VerizonSupport,1939557,576929,@VerizonSupport I AM MOVING INTO A NEW PLACE SO THIS WOULD BE A NEW ACCOUNT. THE SERVICE I AM RECIVING IS HORRIBLE GOING TO TELL EVERYONE I KNOW.,Sun Oct 29 19:32:28 +0000 2017,1939556,"@576929 We would love to assist if you could tell us a little about what, exactly ,is going on. ^RMD",Sun Oct 29 19:34:29 +0000 2017,account_authentication,,,,general_support,auto_handle,,
VerizonSupport,463706,803196,@115722 @115722 just had the worst customer service experience of my life. 10 YEAR loyal customer and you renew my account for 2 year contract in error!!! I called as soon as I noticed this problem and the customer service person was rude and inconsiderate.,Tue Nov 28 17:19:44 +0000 2017,2899211,@803196 Let us help look into this for you.  Do you know when the contract was renewed? ^BCW,Tue Nov 28 17:22:00 +0000 2017,account_authentication,,,,plan_upgrade,human_escalation,,
VerizonSupport,616382,218568,@VerizonSupport You're unaware you bill wireless &amp; business together? I think I'll pass on the 'help'. Can't wait for you to try &amp; charge me for cancelling.,Tue Oct 10 18:06:53 +0000 2017,616380,@218568 Were your troubles technical in nature or more account/billing related? ^BCW,Tue Oct 10 18:10:29 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,1634627,238426,"another month, another $130 to @115725. one dollar per five kilobytes of download speed. https://t.co/LsYqoN3KGh",Tue Oct 17 12:46:41 +0000 2017,1634625,@238426 Is this for your cellular service?  ^CAR,Tue Oct 17 12:49:00 +0000 2017,unknown,,,,service_outage,auto_handle,,
VerizonSupport,1749583,527316,I pay too much for your service to suck @115725 😒,Tue Oct 17 21:04:34 +0000 2017,1749582,"@527316 Good evenin, was this an issue with your home or cell services? ^RMD",Tue Oct 17 21:08:00 +0000 2017,unknown,,,,general_support,auto_handle,,
VerizonSupport,1735588,504912,"@VerizonSupport Been a customer 10 years and I have scheduled a disconnect date for Friday, I have switched to @21274 because of the frustration.",Tue Nov 07 13:53:40 +0000 2017,1735586,"@504912 We are sorry to hear this. We are here if you need us please follow and DM us.
^ADP",Tue Nov 07 13:56:25 +0000 2017,internet_connectivity,,,,internet_connectivity,auto_handle,,
VerizonSupport,2640611,745201,"@VerizonSupport I'm in TN, they called my cell. Said I was overcharged by $25 (and some change) and I had to verify some things and I said they should know my name, etc. He tried to tell me his employee ID or something but ultimately hung up.",Fri Nov 17 21:48:10 +0000 2017,2640610,@745201 Allow us to get you over to your @115990 for investigation and assistance. ^DDG,Fri Nov 17 21:50:29 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,1148472,390273,"@117310 @115725 You’re a hypocrite Univision. Because it’s free on an antenna, yet you want Verizon customers to pay more for your channel.",Tue Oct 24 14:19:20 +0000 2017,1148471,"@390273 Check here for details/updates on the situation about the broadcaster here. https://t.co/gLRw5jYF6I 
^ACM",Tue Oct 24 14:22:00 +0000 2017,unknown,,,,general_support,auto_handle,,
VerizonSupport,1684964,479091,@115725 do you pay off other plans to join your team,Mon Nov 06 17:08:55 +0000 2017,1684963,@479091 You can use this link to answer you questions for buy out. https://t.co/ea4fIV6CcD  ^CAR,Mon Nov 06 17:14:00 +0000 2017,plan_upgrade,,,,plan_upgrade,human_escalation,,
VerizonSupport,388692,207971,"@VerizonSupport Aside from having a broken tablet I'm still paying for, I'm dealing with a snarky, confused CS rep who seems to be way in over his head.",Mon Oct 09 14:34:34 +0000 2017,389110,"@207971 Is this for your Verizon residential or Verizon wireless mobile?
^ADP",Mon Oct 09 14:37:29 +0000 2017,billing_payment,,,,general_support,auto_handle,,
VerizonSupport,1615922,495559,"@495560 @115725 verizon, your service sucks everywhere",Fri Nov 17 20:37:56 +0000 2017,1615921,"@495559 We can help!  What is going on?
^ADP",Fri Nov 17 20:41:52 +0000 2017,unknown,,,,general_support,auto_handle,,
VerizonSupport,2864294,795616,"@comcastcares @795604 What?????? That is awful, even @115722 can do that. Don’t make me switch back",Mon Nov 27 23:43:50 +0000 2017,2864349,"@795616 When you are ready to switch back check here for pricing and availability. https://t.co/DRYj5KxSKA . We will be glad to have you back in the family. 
^HSB",Mon Nov 27 23:50:00 +0000 2017,unknown,,,,general_support,auto_handle,,
VerizonSupport,2257192,475183,"@VerizonSupport do you do support for Verizon FIOS TV, Verizon wireless or something else?",Sat Nov 11 01:28:43 +0000 2017,2257190,@475183 We're Fios here! How can we assist Taylor? ^DDG,Sat Nov 11 01:31:57 +0000 2017,internet_connectivity,,,,internet_connectivity,auto_handle,,
VerizonSupport,2115085,623575,@VerizonSupport I actually almost started with Verizon but I was surprised by the price changes throughout the 2 year contract. I'll look back into it.,Wed Nov 08 17:38:32 +0000 2017,2115089,"@623575 We can take a look! Please follow and DM so we can continue. 
^DDG",Wed Nov 08 17:45:26 +0000 2017,plan_upgrade,,,,plan_upgrade,human_escalation,,
VerizonSupport,1185611,398778,"Yet again, I can't sign in to pay my @115725 bill.",Tue Oct 24 22:58:11 +0000 2017,1185610,"@398778 Are you having this issue with both your MyFios app and our site? ^DDG
https://t.co/SvaJ959Uoz",Tue Oct 24 23:00:33 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,1559655,481959,@115722 why charge $20 more with no notice? #badcustomerservice #TimetoswitchtoRCN,Sat Nov 04 13:15:58 +0000 2017,1559653,@481959 We can help you go over your bill. Do you have last months bill to compare? ^KMG,Sat Nov 04 13:19:23 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,377912,319411,@205677 @VerizonSupport I'm having the same problems. All my premium accounts have logged me out and are saying I don't subscribe.,Mon Oct 09 04:44:42 +0000 2017,837970,@319411 Please follow and DM us. ^RMD,Mon Oct 09 04:46:56 +0000 2017,account_authentication,,,,general_support,auto_handle,,
VerizonSupport,1768719,531765,@VerizonSupport yes,Tue Nov 07 22:53:20 +0000 2017,1768720,"@531765 Do you know where your Battery Backup Unit is located?
^ACM",Tue Nov 07 23:03:30 +0000 2017,general_support,,,,general_support,auto_handle,,
VerizonSupport,2973080,819974,@VerizonSupport https://t.co/jQ49gmCIf2 accessories order,Thu Nov 30 02:07:54 +0000 2017,2973081,@819974 We will have to refer this to our wireless counterparts @115990 for all your mobile concerns. ^JRA,Thu Nov 30 02:10:00 +0000 2017,order_equipment,,,,order_equipment,human_escalation,,
VerizonSupport,1825446,547967,@comcastcares Done. Verizon for Internet and security and sling for TV. Happens tomorrow. Bill is ridiculous and deal with outage 2 straight nights?!,Wed Oct 18 04:24:10 +0000 2017,1825445,@547967 Looking forward to having you with us. If you ever need support we will be here for you 24x7. ^JRA,Wed Oct 18 04:26:56 +0000 2017,service_outage,,,,service_outage,auto_handle,,
VerizonSupport,1799386,540673,@115722 @72197  Any reason the app says mine and my wife's bill is past due and we know its current? https://t.co/iTMP3UIQ29,Wed Oct 18 01:11:52 +0000 2017,1799384,"@540673 Good evening, could you delete the app, reboot your device and then re-install the app and let us know if it clears please. ^RMD",Wed Oct 18 01:14:32 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,616060,266206,@VerizonSupport That was main reason for call. Now I have now dvr and they want to charge me an additional 20$ I am still waiting on call from a manager sup,Wed Oct 11 03:28:26 +0000 2017,723852,"@266206 Sorry to hear you have had to go through so much. If a supervisor is involved, we need to wait for them to finish their part. ^RMD",Wed Oct 11 03:29:57 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,94963,136647,"A 200 home Verizon bill is ridiculous but yet, I’m paying it. -_-",Thu Nov 30 15:48:37 +0000 2017,94962,"@136647 Would you like us to take a look at your account and see if there are any savings available?
^ACM",Thu Nov 30 15:55:00 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,2911969,806084,@VerizonSupport Tell me - can you get a manager from the billing department and services to just call me back directly?  So I don't have to cry again on the phone?,Tue Nov 28 21:33:33 +0000 2017,2911968,"@806084 Are you having trouble with your residential or cellular service bill?
^HSB",Tue Nov 28 21:37:26 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,61958,794963,"@VerizonSupport 11 year customer...paid over $50k to @115725 over that time. Trying to drop a single phone line from my account and get stonewalled with ""this is our policy"" BS... YOUR POLICY AND CUSTOMER SUPPORT MAKE PEOPLE HATE YOUR COMPANY https://t.co/3JOSZqUUTr",Tue Nov 28 01:42:01 +0000 2017,2869069,"@794963 We are trying to get you cared for as quickly as possible. As you stated this was a business account, we would need you to reach out to us via phone. ^RMD",Tue Nov 28 01:52:28 +0000 2017,account_authentication,,,,general_support,auto_handle,,
VerizonSupport,271119,180685,"@VerizonSupport The set top box I was using was not the main box, howbeit it does have dvr capability. None of the packaged channels were working (15-20min)",Fri Oct 06 02:42:13 +0000 2017,271120,"@180685 Was there an error message on the channels that were not working?
^HSB",Fri Oct 06 02:51:00 +0000 2017,order_equipment,,,,order_equipment,human_escalation,,
VerizonSupport,393814,208927,@VerizonSupport @115725 what  teams are considered in market in Syracuse?,Mon Oct 09 17:12:02 +0000 2017,393813,@208927 Please follow and DM us so we can further assist. ^ADP,Mon Oct 09 17:20:52 +0000 2017,general_support,,,,general_support,auto_handle,,
VerizonSupport,2346859,678531,@VerizonSupport sos,Mon Nov 13 15:47:55 +0000 2017,2346858,"@678531 How can we help you out today, Morgan? ^BCW",Mon Nov 13 15:49:52 +0000 2017,general_support,,,,general_support,auto_handle,,
VerizonSupport,503754,235398,@235399 @121836 I cut my cable after the election....  Now I'm trying to decide whether I want Comcast or Verizon fios.........,Fri Dec 01 19:56:58 +0000 2017,503752,"@235398 We have an idea.
^JAY",Fri Dec 01 20:08:31 +0000 2017,internet_connectivity,,,,internet_connectivity,auto_handle,,
VerizonSupport,280273,182798,@VerizonSupport these guys get your money if you don't question your bill. I need a different carrier. Any suggestions my people?,Fri Oct 06 10:01:44 +0000 2017,280271,"@182798 We will be more than happy to explain your bill for you. What questions do you have?
^TXA",Fri Oct 06 10:07:29 +0000 2017,billing_payment,,,,billing_payment,human_escalation,,
VerizonSupport,1186953,399107,@VerizonSupport Says contractual. I pay for the NBA ticket. Which is 300 a season and I can't even watch my team. Happens again I'm dropping,Tue Oct 24 23:43:42 +0000 2017,1186955,"@399107 We understand, Does the channel advise the game is a blackout?
^NHP",Tue Oct 24 23:47:28 +0000 2017,plan_upgrade,,,,plan_upgrade,human_escalation,,
VerizonSupport,1238608,410536,@VerizonSupport hey I'm experiencing an outage can you assist ?,Wed Oct 25 21:39:45 +0000 2017,1238606,"@410536 Happy to help, what seems to be going on?
^ACM",Wed Oct 25 21:42:15 +0000 2017,service_outage,,,,service_outage,auto_handle,,
VerizonSupport,954270,346424,@VerizonSupport Mobile. I ordered an iPhone X on 10/27 and got the email last night.,Mon Nov 20 03:56:22 +0000 2017,954269,"@346424 Let us partner you with our Verizon Wireless Team @115990.  We will get this over to them for you. 
^FEM",Mon Nov 20 03:59:00 +0000 2017,order_equipment,,,,order_equipment,human_escalation,,
VerizonSupport,1697052,514775,@VerizonSupport  Someone misplaced the remote control for the main box in the living room😭😭😭. How can I order another one?,Mon Nov 06 23:00:15 +0000 2017,1697051,"@514775 Hello Rysheda, Here's the link you'll need to get started. ^NHP
https://t.co/TezvwObDSt",Mon Nov 06 23:06:00 +0000 2017,order_equipment,,,,order_equipment,human_escalation,,
VerizonSupport,666645,202116,@115990 You only offer DSL in our area.  Been a problem for about 7 years.  The network is old and needs upgraded,Thu Nov 23 02:26:06 +0000 2017,666643,@202116 We'd like to help with your DSL issue. Do you still have the secure chat link previously provided through DM? ^DDD,Thu Nov 23 02:29:50 +0000 2017,plan_upgrade,,,,plan_upgrade,human_escalation,,
